alpha_id,strategy,gamma,base_spread,vol_mult,vol_window,order_notional,refresh_bars,target_pct,max_inv_mult,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
AV0108,avellaneda,5.032808898089439,0.005348425102029836,6.341153333692562,120,300.0,5,0.5,7.292782694479726,1.7211470150975068,0.3519419714617234,-0.8931444414276121,3.9989620245112567,0.3472451135533502,-0.41402314053329975,9,80.5,9.518815236211587
AV1650,avellaneda,0.7209260477987044,0.0006777570607579041,11.395013764570528,30,300.0,5,0.5,2.764898651396957,3.0660287760395706,1.336128056005051,-1.5631484871363863,2.6985538116893566,0.3659700232704636,-1.1939788159425007,9,111.7,9.291796720977167
AV3256,avellaneda,4.3390374711313635,0.0012996577453678103,14.251525114665153,240,300.0,3,0.4,10.392018475591987,3.387893238885419,0.8075775583637606,-0.5344085355515017,2.3730980671889528,0.2840583955912189,-0.49087751896056947,9,34.6,9.27753412241032
AV0922,avellaneda,6.728878347002465,0.0007211967658049308,17.07543465568634,120,200.0,5,0.4,10.423326516408181,2.827506012385708,0.5189988647369609,-0.5920156340283939,2.6156569034724075,0.20345296713099925,-0.37384885804061924,9,41.3,9.219142716166338
AV3544,avellaneda,0.6206879634345691,0.0012447487160562579,7.557358913867746,120,150.0,10,0.4,9.692997940021844,2.3625338013061308,0.7301528849912611,-0.9048591102350292,2.6560248744183452,0.29398139104804977,-0.5332228905380726,9,371.3,9.095496471731655
AV0165,avellaneda,7.552420640573224,0.0026748238058606575,11.447822188431795,480,200.0,5,0.4,3.04458499891779,2.4197990520147856,0.3905359717007596,-0.49460846099123956,3.5136934452232493,0.25966715884463154,-0.3753390894502991,8,73.5,8.70535479329545
AV3847,avellaneda,22.449797392986472,0.003981427533474587,20.196529022887628,480,75.0,5,0.6,4.107409913118579,3.681604343514807,0.5333153310815123,-0.3868595115033531,2.508706185726573,0.1742036757437636,-0.3327764733044387,8,73.5,8.627368792292634
AV1569,avellaneda,50.96797548634073,0.0027690969081475988,41.21640041577101,240,100.0,5,0.6,9.0758502579252,3.62701651046494,0.5110516395188351,-0.40336174190459134,2.355981716906499,0.1698508952588727,-0.33720906272303186,8,50.4,8.541652253604733
AV1379,avellaneda,45.186494239301894,0.0005042152980055132,41.28473756673176,120,100.0,10,0.5,11.652423025296951,3.5547266075731487,0.52241432381716,-0.41952209302917254,2.390868115126435,0.17424837026913703,-0.3607009248815666,8,54.0,8.534606448207478
AV2969,avellaneda,0.5719109273658007,0.00023965430371252812,8.642579285035978,30,300.0,3,0.5,11.517163304813568,1.260880736235923,0.672160184688024,-1.5422367086562918,2.0436817773480054,0.3160014282945068,-1.4060775383566944,9,253.2,8.43883648263954
AV3239,avellaneda,43.95184398860843,0.00040755712066855757,33.56593584338416,30,100.0,2,0.6,8.865106312707514,3.3915859890729982,0.47768523863890183,-0.4069879208839484,2.2684589264830066,0.16670524359311095,-0.3492782450159939,8,77.9,8.430662038425742
AV2424,avellaneda,2.668776934834888,0.0013833304459752492,12.116395944021836,240,300.0,3,0.6,6.741591866145271,3.3394133988054326,0.9830363598764817,-0.7116214639937789,2.2860805674105658,0.27662677785926826,-0.6008074012804718,8,49.1,8.416641973128298
AV3780,avellaneda,1.4848151914748349,0.002044214603229902,12.926978058849958,30,150.0,5,0.6,10.373413257406504,3.8269927336833947,0.6974639357617598,-0.5602502726305647,1.9426700767086493,0.17983244435066809,-0.4786221529368231,8,43.3,8.407968620995755
AV0916,avellaneda,2.0730005389625985,0.0037016119814864833,11.074003235112318,60,300.0,5,0.5,8.443780285893663,2.7388426402456068,0.7696022739395613,-0.8787724781911856,2.645641322386638,0.3456193873638512,-0.6231886666158243,8,32.6,8.402449618139828
AV3525,avellaneda,0.9852507870287764,0.0024081591692304578,3.8949470230390526,60,75.0,1,0.5,3.6876026031513494,3.514311289837939,0.5177626107903597,-0.47858718996290917,2.071844107782227,0.1350310202490964,-0.32097649729874317,8,161.3,8.378167127235388
