alpha_id,strategy,n_grid,grid_step,tp_steps,recenter_bars,recenter_threshold,leverage,target_pct,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
GR2559,grid,8,0.0048304226660110285,1,30,0.066946271936053,2,0.5,2.681789828079148,4.2123731733077605,-4.278893983975922,4.2032961137289435,1.4590117697465794,-1.7199745984653236,9,507.9,9.909542665273577
GR2946,grid,8,0.006090624423751772,1,30,0.07110471404824786,2,0.5,2.8678750539293842,3.612256050013633,-3.557139615815667,3.975960900014884,1.1457307141984168,-1.5394407131290062,9,328.3,9.848836935533646
GR0368,grid,5,0.00506161937059015,1,30,0.07503341169693664,3,0.5,2.6403221290973016,9.04033632667967,-10.434012628608762,3.9361797788254917,3.3131240786049347,-4.368670019487453,9,446.8,9.766307264319808
GR1514,grid,5,0.004982369795533242,1,30,0.06842645081156125,1,0.5,2.4986470699375927,3.0155519687494037,-3.48652656945349,3.970928145577112,1.0988477524056344,-1.437664255075324,9,460.1,9.73815975137891
GR1389,grid,8,0.0042204370772072316,1,30,0.0697106990973269,1,0.5,2.4499331140264133,2.1538022502363585,-2.6097544017809193,3.95209417698456,0.7505014731597403,-1.097804600945674,9,631.5,9.707594155647016
GR1212,grid,8,0.006260244942666605,1,30,0.07916330525817074,1,0.5,2.6224846252749594,1.6804791245674953,-1.7683078317117178,3.8063513434518574,0.6185919385272609,-0.7814072250201571,9,310.5,9.702206413716796
GR1490,grid,6,0.005387024009708843,1,30,0.07258273513629615,1,0.5,2.602340400997134,2.3976893796292336,-2.8442771793217614,3.762939486145182,0.7948270948293013,-1.2577219423386667,9,399.7,9.662147740110496
GR2533,grid,4,0.004985212950443119,1,30,0.07237551092509925,2,0.5,2.42230790221131,6.549947354145165,-7.8046408101640194,3.8487091844294268,2.604232077967852,-3.593316017788056,9,426.9,9.65135110882678
GR2695,grid,8,0.006162766589308804,2,30,0.06941569653154692,1,0.5,2.7212181180409005,2.168634837100364,-2.261517733079854,3.6440082347920466,0.562278012091314,-0.8500848665316335,9,196.8,9.650146290044098
GR0978,grid,4,0.006304883353198308,2,30,0.07263914928911389,2,0.5,2.605167256777171,7.287287922282786,-8.545340521319794,3.742791234178062,1.9573113755564049,-3.054945037707457,9,170.0,9.639094440195343
GR2562,grid,6,0.005323536666387144,1,30,0.06609342811354514,2,0.5,2.67724466000615,4.948543070215178,-5.700541207365095,3.671139766930337,1.532379511900068,-2.5254728912079734,9,408.9,9.626248280600024
GR1530,grid,5,0.00419472345809825,1,30,0.07542072710131371,2,0.5,2.2048307570102064,5.710682780935163,-6.801604758248304,3.9319671364494466,2.3237247504917304,-3.268721710775899,9,580.5,9.620609115898098
GR0414,grid,6,0.005400451157486481,1,30,0.06693544901462585,3,0.5,2.611471933674527,7.2054631609075175,-8.529029817591617,3.715013522280935,2.3628533856856904,-3.769984398223023,9,398.1,9.618026872090253
GR1861,grid,8,0.007287816041029511,1,30,0.06692285760794071,2,0.5,3.0711578450660135,3.3837225430338527,-3.6484550952839165,3.2833423899093304,0.8074833577024982,-1.0260539463696479,9,236.8,9.601886860813023
GR0694,grid,5,0.0067042824661525625,2,30,0.07150506730677689,3,0.5,2.6211290155524756,9.239472053379071,-10.825733355307893,3.7170785595442033,2.2472318496707833,-4.40231536660729,9,162.6,9.574663682437858
GR0939,grid,6,0.005547337209117331,1,30,0.07375156607690385,2,0.5,2.595700711791492,4.691858776665913,-5.709771242839488,3.556789375657053,1.51140483147126,-2.384165434258357,9,378.5,9.55712789304532
GR3948,grid,6,0.0061044073469837985,2,30,0.0663330967834413,2,0.5,2.769094635556603,5.800986353740054,-6.032486065766534,3.401190099333153,1.3258093780682374,-2.27311386053505,9,196.8,9.530941853980256
GR2622,grid,8,0.0020432624766466064,2,30,0.07944158450506802,1,0.5,2.233462188503413,2.8477669911779664,-4.535212668619461,3.717204403485529,1.2095460051113223,-2.015454370981988,9,1106.8,9.5186170562695
GR2948,grid,6,0.004266267761429076,1,30,0.06082582423488417,1,0.5,2.3629889939220843,2.720061115461065,-3.4897217838717367,3.5942356748166384,0.8662727962497121,-1.4742624839750897,9,592.9,9.507148826505585
GR3723,grid,4,0.006493113355357159,1,30,0.07843429802472662,3,0.5,2.272613941455769,8.370321710999082,-10.602610487500442,3.579702760406853,3.493248115641502,-4.899721287294178,9,269.3,9.478126996633485
GR3221,grid,6,0.006822206492290213,1,30,0.06277701307606319,2,0.5,2.6992026400272926,4.1497326089682325,-4.707734985621955,3.2285489815712856,1.2250616784550803,-2.1879930033256643,9,257.3,9.429333187792134
