alpha_id,n_levels,buy_spread_base,sell_spread_base,spread_step,amount_base_w,refresh_s,cooldown_s,use_sl,stop_loss,use_tp,take_profit,tp_is_market,time_limit_s,use_trail,trail_act,trail_delta,leverage,is_sharpe_mean,is_pnl_pct_mean,is_pnl_pct_worst,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_pnl_pct_worst,oos_max_dd_worst,n_sym_profit_is,n_sym_profit_oos,avg_fills,avg_inv_pct,score
A0351,4,0.007668540552028334,0.01334609117434383,0.0007915127044539563,1.4538788977838806,30,0,True,0.03401403288634132,True,0.005607659736392278,False,7200,True,0.011285223538059936,0.009534138838667626,2,0.7402547809548252,0.5758062931842124,-1.4020615575599549,-3.6499342085249915,3.1554002795268543,0.4577100624316991,0.0,-1.475982298231902,5,8,76.1,0.21297429281297334,7.953051688126413
A2743,4,0.007571987198753249,0.013018954856009474,0.0012260809037136745,1.0645394463510542,60,60,True,0.027972789683577342,True,0.018250712115284076,True,2700,False,0.0,0.0,3,0.501019010610588,0.7899899311362732,-1.8766996665635451,-5.803409972365553,2.664845761928402,0.863397249471749,0.0,-1.8776500682239021,6,8,65.3,0.41510646646790866,7.680848121384734
A2756,2,0.007746016349588848,0.013612004976450693,0.0016299283704503992,1.8891723638489204,60,0,True,0.012092913381906505,True,0.0065712936975757365,True,300,True,0.01702289818368905,0.004596318612449063,3,1.1032223145460764,1.1369271919705644,-0.6332405774744074,-3.0152168762679867,3.134698115512456,0.5867687228879004,-0.03257280662503036,-2.6837337623841995,6,7,44.4,0.04832367358185803,7.172337202705105
A0865,3,0.008782992310773837,0.010592050644600996,0.0009453080207381566,1.1835708882787814,30,300,True,0.017877398870617466,False,0.0,False,600,False,0.0,0.0,2,0.9429578246111016,1.047452390272023,-0.40194711100839414,-2.8725639307886195,2.3127459834093536,0.3349367418656493,0.0,-1.276733178474442,6,7,56.1,0.0779739457699587,6.82666609732777
